Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Livestock Medicines Act, R.S.O. 1990, c. L.23","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 27
1998, c. 18, Sch. G, s. 64
1999, c. 12, Sch. A, s. 16
2006, c. 19, Sch. A, s. 12
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 35, Sch. C, s. 61
2009, c. 31, s. 74
2009, c. 33, Sch. 1, s. 19","","",""
"Loan and Trust Corporations Act, R.S.O. 1927, c. 223","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Loan and Trust Corporations Act, R.S.O. 1990, c. L.25","Yes","Minister of Finance","1150/2018 (10/11/2018)","1992, c. 32, s. 19
1993, c. 27, Sch.
1994, c. 11, s. 390
1994, c. 17, s. 103-121
1996, c. 2, s. 70
1997, c. 10, s. 28
1997, c. 19, s. 13
1997, c. 23, s. 9
1997, c. 28, s. 149-171
1999, c. 1
1999, c. 12, Sch. I, s. 5
1999, c. 6, s. 34
2001, c. 8, s. 52-182
2004, c. 31, Sch. 23
2004, c. 7, s. 10
2004, c. 8, s. 46, Table
2005, c. 5, s. 38
2006, c. 19, Sch. C, s. 1 (1)
2010, c. 26, Sch. 11
2015, c. 20, Sch. 21
2017, c. 34, Sch. 17, s. 23
2018, c. 8, Sch. 16
CTS 23 FE 17 - 1","","",""
"Loan Brokers Act, 1994, S.O. 1994, c. 22","Yes",,,"1998, c. 18, Sch. E, s. 176-178
1999, c. 12, Sch. G, s. 26
2001, c. 9, Sch. D, s. 13","","30/07/2005","2002, c. 30, Sch. E, s. 9"
"Lobbyists Registration Act, 1998, S.O. 1998, c. 27, Sched.","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","2002, c. 17, Sch. F, Table
2002, c. 18, Sch. K, s. 12, 13 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2006, c. 21, Sch. F, s. 118
2006, c. 35, Sch. C, s. 62
2010, c. 25, s. 25
2014, c. 13, Sch. 8
2014, c. 7, Sch. 18
2015, c. 20, Sch. 22
2018, c. 17, Sch. 45, s. 8
2018, c. 3, Sch. 5, s. 31 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 28
CTS 4 AU 09 - 1","","",""
"Local Food Act, 2013, S.O. 2013, c. 7","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2017, c. 25, Sch. 9, s. 99","","",""
"Local Government Disclosure of Interest Act, 1994, S.O. 1994, c. 23, Sched. B","Yes",,,"1996, c. 32, s. 74
1997, c. 31, s. 152
1999, c. 6, s. 35","","01/01/2003","2001, c. 25, s. 484"
"Local Health System Integration Act, 2006, S.O. 2006, c. 4 ","Yes","Minister of Health","1110/2019 (31/08/2019)","2006, c. 35, Sch. C, s. 63
2006, c. 4, s. 33 (8), 40
2007, c. 10, Sch. J, s. 3
2007, c. 8, s. 214
2009, c. 33, Sch. 18, s. 14
2009, c. 33, Sch. 2, s. 45
2010, c. 1, Sch. 15
2010, c. 14, s. 19
2010, c. 15, s. 231 (See 2017, c. 20, Sch. 8, s. 58)
2010, c. 25, s. 26
2016, c. 30, s. 1-30
2017, c. 20, Sch. 8, s. 91
2017, c. 25, Sch. 9, s. 100
2017, c. 34, Sch. 46, s. 23
2019, c. 5, Sch. 3, s. 11
2019, c. 7, Sch. 53, s. 7
2019, c. 7, Sch. 53, s. 7
CTS 19 JL 12 - 1","","",""
"Local Improvement Act, R.S.O. 1990, c. L.26","Yes",,,,"","01/01/2003","2001, c. 25, s. 484"
"Local Improvement Amendment Act, 1946, S.O. 1946, c. 49","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Local Improvement Amendment Act, 1979, S.O. 1979, c. 52","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Local Planning Appeal Support Centre Act, 2017, S.O. 2017, c. 23, Sched. 2","Yes","Attorney General","1143/2018 (10/11/2018)","2017, c. 23, Sch. 2, s. 16","","",""
"Local Planning Appeal Tribunal Act, 2017, S.O. 2017, c. 23, Sched. 1","Yes","Attorney General","1143/2018 (10/11/2018)","2019, c. 1, Sch. 4, s. 29
2019, c. 7, Sch. 17, s. 100
2019, c. 7, Sch. 17, s. 100
2019, c. 9, Sch. 9, s. 1-10","","",""
"Local Roads Boards Act, R.S.O. 1990, c. L.27","Yes","Minister of Transportation","1162/2018 (10/11/2018)","1996, c. 1, Sch. M, s. 48
1996, c. 33, s. 29
1997, c. 19, s. 35
1997, c. 43, Sch. F, s. 7
1999, c. 9, s. 137
2004, c. 8, s. 47 (1)
2006, c. 19, Sch. T, s. 8
2006, c. 33, Sch. Z.3, s. 16
2008, c. 19, Sch. M
2009, c. 18, Sch. 16","","",""
"Local Roads Boards Amendment Act, 1965, S.O. 1965, c. 63","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Logging Tax Amendment Act, 1962-63, S.O. 1962-63, c. 77","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Logging Tax Amendment Act, 1965, S.O. 1965, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"London-Middlesex Act, 1992, S.O. 1992, c. 27","Yes",,,"1996, c. 32, s. 75
1997, c. 29, s. 61
1997, c. 31, s. 153
1998, c. 15, Sch. E, s. 16
1999, c. 12, Sch. M, s. 16
2001, c. 25, s. 484
2001, c. 9, Sch. J, s. 1","","01/01/2003","2002, c. 17, s. 7"
"Long-Term Care Homes Act, 2007, S.O. 2007, c. 8","Yes","Minister of Long-Term Care","1111/2019 (31/08/2019)","2007, c. 8, s. 195
2009, c. 33, Sch. 18, s. 15
2010, c. 11, s. 127
2010, c. 15, s. 233
2014, c. 7, Sch. 19
2015, c. 30, s. 24
2017, c. 14, Sch. 4, s. 20
2017, c. 25, Sch. 5, s. 1-53
2017, c. 25, Sch. 9, s. 101
2019, c. 4, Sch. 8
2019, c. 5, Sch. 3, s. 12
CTS 27 AL 10 - 1","","",""
"Lord’s Day (Ontario) Act, 1960-61, S.O. 1960-61, c. 50","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Lung Health Act, 2017, S.O. 2017, c. 28","Yes","Minister of Health","1110/2019 (31/08/2019)","2019, c. 5, Sch. 3, s. 13","","",""
"Major-General Sir Isaac Brock Day Act, 2012, S.O. 2012, c. 2","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)",,"","",""
"Management Board of Cabinet Act, 1971, S.O. 1971, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Management Board of Cabinet Act, R.S.O. 1990, c. M.1","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","1991, c. 14, s. 11
1993, c. 38, s. 69
2005, c. 31, Sch. 14
2006, c. 35, Sch. C, s. 64
2009, c. 34, Sch. L
2010, c. 1, Sch. 16
2015, c. 20, Sch. 23","","",""
"Mandatory Blood Testing Act, 2006, S.O. 2006, c. 26 ","Yes","Minister of Health","1110/2019 (31/08/2019)","2009, c. 33, Sch. 9, s. 7
2019, c. 1, Sch. 7","","",""
"Mandatory Gunshot Wounds Reporting Act, 2005, S.O. 2005, c. 9 ","Yes","Solicitor General","635/2019 (04/05/2019)","2018, c. 3, Sch. 5, s. 32 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 30","","",""
"Manitoba-Ontario Lake St. Joseph Diversion Agreement Authorization Act, 1958, S.O. 1958, c. 56","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Manitoulin Rural Power District Act, 1933, S.O. 1933, c. 28","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Manitoulin, Barrie and Cockburn Islands Land Act, 1990, S.O. 1990, c. 27","No",,,,"See R.S.O. 1990, Schedule C","31/12/2011","See: Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006"
"Marine Insurance Act, R.S.O. 1990, c. M.2","Yes",,,"1993, c. 27, Sch.","","04/06/2015","2015, c. 20, Sch. 24, s. 1"
"Marriage Act, 1950, The, S.O. 1950, c. 42","No",,,,"s. 51","",""
"Marriage Act, R.S.O. 1990, c. M.3","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 27, s. 89
1998, c. 18, Sch. E, s. 179-182
1999, c. 12, Sch. F, s. 30-32
2001, c. 13, s. 20
2001, c. 9, Sch. D, s. 10
2002, c. 14, Sch. s. 11
2002, c. 17, Sch. F, Table
2002, c. 25 (But see 2009, c. 33, Sch. 17, s. 7)
2005, c. 5, s. 39
2006, c. 19, Sch. G, s. 4
2008, c. 14, s. 55
2009, c. 33, Sch. 17, s. 6
2012, c. 8, Sch. 32
CTS 13 JL 12 - 4
O. Reg. 726/91","","",""
"Married Women’s Property Act, The, R.S.O. 1914, c. 149","No",,,,"s. 4 (4, 5), 6, 8, 11-15","",""
"Massage Therapy Act, 1991, S.O. 1991, c. 27","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 32
2007, c. 10, Sch. B, s. 9
2009, c. 26, s. 13","","",""
"Massey-Ferguson Limited Act, 1981, S.O. 1981, c. 3","No",,,,"See R.S.O. 1990, Schedule C","22/12/1999","1999, c. 12, Sch. H, s. 1"
"Master and Fellows of Massey College Act, 1960-61, The, S.O. 1960-61, c. 53","No",,,"1974, c. 13","Total","",""
"Master and Fellows of Massey College Amendment Act, 1974, S.O. 1974, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"McMaster University Lands Act, 1931, S.O. 1931, c. 72","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"McMichael Canadian Art Collection Act, R.S.O. 1990, c. M.4","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1997, c. 34, s. 1
1998, c. 18, Sch. B, s. 9
2000, c. 21
2002, c. 18, Sch. A, s. 13
2002, c. 33, s. 144
2006, c. 21, Sch. F, s. 136 (1)
2009, c. 33, Sch. 11, s. 5
2011, c. 16
2017, c. 20, Sch. 8, s. 93","","",""
"Meat Inspection Act (Ontario), R.S.O. 1990, c. M.5","Yes",,,"1994, c. 27, s. 29
1999, c. 12, Sch. A, s. 18","","01/06/2005","2001, c. 20, s. 59"
"Medical Laboratory Technology Act, 1991, S.O. 1991, c. 28","Yes","Minister of Health","1110/2019 (31/08/2019)","1997, c. 9, s. 5
1998, c. 18, Sch. G, s. 33
2007, c. 10, Sch. B, s. 10","","",""
"Medical Radiation and Imaging Technology Act, 2017, S.O. 2017, c. 25, Sched. 6","Yes","Minister of Health","1110/2019 (31/08/2019)",,"","",""
"Medical Radiation Technology Act, 1991, S.O. 1991, c. 29","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 34
2007, c. 10, Sch. B, s. 11
2009, c. 26, s. 14 
2017, c. 25, Sch. 6, s. 15","","",""
"Medicine Act, 1991, S.O. 1991, c. 30","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 35
2000, c. 28
2007, c. 10, Sch. B, s. 12
2007, c. 10, Sch. G, s. 35
2007, c. 10, Sch. R, s. 15
2009, c. 26, s. 15","","",""
"Members’ Conflict of Interest Act, R.S.O. 1990, c. M.6","Yes",,,,"","06/10/1995","1994, c. 38, s. 35"
"Members’ Integrity Act, 1994, S.O. 1994, c. 38","Yes","Attorney General","1143/2018 (10/11/2018)","1998, c. 26, s. 107
1998, c. 27, s. 1
1999, c. 6, s. 36
2005, c. 5, s. 40
2006, c. 35, Sch. C, s. 65
2009, c. 33, Sch. 6, s. 66
2010, c. 5
2018, c. 17, Sch. 24","","",""
"Mental Health Act, R.S.O. 1990, c. M.7","Yes","Minister of Health","1110/2019 (31/08/2019)","1992, c. 32, s. 20
1992, c. 32, s. 20 (But see 1996, c. 2, s. 64 (2))
1993, c. 27, Sch.
1994, c. 27, s. 43 (2)
1996, c. 2, s. 72
1997, c. 15, s. 11
1999, c. 12, Sch. J, s. 33
2000, c. 9, s. 1-30
2001, c. 9, Sch. B, s. 9
2002, c. 24, Sch. B, s. 25
2004, c. 3, Sch. A, s. 90
2010, c. 1, Sch. 17
2015, c. 36, s. 1-16","","",""
"Mental Hospitals Act, R.S.O. 1990, c. M.8","Yes",,,"1999, c. 6, s. 37
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25
2005, c. 5, s. 41
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. L, s. 11 (2), (3), (4)","","15/12/2009","2009, c. 33, Sch. 18, s. 16"
"Mental Hospitals Amendment Act, 1962-63, S.O. 1962-63, c. 81","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mental Hospitals Amendment Act, 1967, S.O. 1967, c. 52","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mental Incompetency Act, R.S.O. 1990, c. M.9","Yes",,,,"","03/04/1995","1992, c. 32, s. 21 (But see 1996, c. 2, s. 64 (3))"
"Mental Incompetency Amendment Act, 1964, S.O. 1964, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mercantile Law Amendment Act, R.S.O. 1990, c. M.10","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Métis Nation of Ontario Secretariat Act, 2015, S.O. 2015, c. 39","Yes","Minister of Indigenous Affairs","1154/2018 (10/11/2018)","2015, c. 39, s. 17-29
2017, c. 20, Sch. 7, s. 80","","",""
"Metrolinx Act, 2006, S.O. 2006, c. 16  (formerly Greater Toronto Transportation Authority Act, 2006)","Yes","Minister of Transportation","1162/2018 (10/11/2018)","2006, c. 16, s. 51-53
2006, c. 35, Sch. C, s. 50
2006, c. 35, Sch. D, s. 19
2009, c. 14, s. 1-35
2009, c. 33, Sch. 26, s. 4
2009, c. 34, Sch. J, s. 31
2011, c. 9, Sch. 27, s. 31
2015, c. 38, Sch. 7, s. 50
2017, c. 2, Sch. 3, s. 7
2017, c. 20, Sch. 8, s. 94
2017, c. 34, Sch. 46, s. 24
2018, c. 17, Sch. 25
2019, c. 8, Sch. 3
2019, c. 8, Sch. 3","","",""
"Metropolitan Toronto Convention Centre Corporation Act, R.S.O. 1990, c. M.11","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1994, c. 27, s. 104
1997, c. 26, Sch.
2002, c. 17, Sch. F, Table
2002, c. 8, Sch. I, s. 16
2004, c. 17, s. 32
2004, c. 8, s. 46, Table
2006, c. 32, Sch. C, s. 31
2017, c. 20, Sch. 8, s. 95
2017, c. 34, Sch. 46, s. 25
CTS 20 SE 10 - 7","","",""
"Metropolitan Toronto Police Force Complaints Act, 1984, S.O. 1984, c. 63","No",,,,"","",""
"Midwifery Act, 1991, S.O. 1991, c. 31","Yes","Minister of Health","1110/2019 (31/08/2019)","1998, c. 18, Sch. G, s. 36
2007, c. 10, Sch. B, s. 13
2009, c. 26, s. 16","","",""
"Milk Act, 1965, S.O. 1965, 13-14 Elizabeth II, c. 72","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 29 (1)"
"Milk Act, R.S.O. 1990, c. M.12","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1991, c. 53, s. 2
1994, c. 27, s. 30
1996, c. 1, Sch. M, s. 70
1996, c. 17, Sch. H
1997, c. 44
1999, c. 12, Sch. A, s. 19
2001, c. 20, s. 60 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. P, s. 42
2006, c. 19, Sch. A, s. 15
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 35, Sch. C, s. 66
2009, c. 33, Sch. 1, s. 20
2009, c. 33, Sch. 6, s. 67
2010, c. 16, Sch. 1, s. 5
2017, c. 20, Sch. 8, s. 96
2019, c. 7, Sch. 17, s. 101
2019, c. 7, Sch. 17, s. 101","","",""
"Milk Amendment Act, 1968-69, S.O. 1968-69, 17-18 Elizabeth II, c. 67","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 29 (2)"
"Milk Amendment Act, 1972 (No. 2), S.O. 1972, 21 Elizabeth II, c. 162","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 29 (4)"
"Milk Amendment Act, 1972, S.O. 1972, 21 Elizabeth II, c. 155","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 29 (3)"
"Milk Control Act, 1948, S.O. 1948, 12 George VI, c. 55","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 30"
"Milk Industry Act, 1957, S.O. 1957, c. 70","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Milk Industry Amendment Act, 1958, S.O. 1958, 6-7 Elizabeth II, c. 58","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 31 (1)"
"Milk Industry Amendment Act, 1959, S.O. 1959, 7-8 Elizabeth II, c. 59","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 31 (2)"
"Mineral Emblem Act, R.S.O. 1990, c. M.13","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)",,"","",""
"Mines Act, 1906, S.O. 1906, c. 1","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Act of Ontario, R.S.O. 1914, c. 32","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Act, R.S.O. 1990, c. M.14","Yes","Minister of Energy, Northern Development and Mines, except in respect of Part IV
Minister of Natural Resources and Forestry, in respect of Part IV","Minister of Energy, Northern Development and Mines: 1148/2018 (10/11/2018)
Minister of Natural Resources and Forestry: 1158/2018 (10/11/2018)","1994, c. 27, s. 130, 134
1996, c. 1, Sch. O
1996, c. 30, s. 71
1997, c. 19, s. 36
1997, c. 38, s. 1
1997, c. 40
1998, c. 18, Sch. I, s. 40
1999, c. 12, Sch. O, s. 1-58
2000, c. 26, Sch. L, s. 6
2000, c. 26, Sch. M, s. 1-17
2001, c. 9, Sch. L
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. M, s. 1-9
2006, c. 12, s. 63
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 33, Sch. R
2006, c. 35, Sch. C, s. 67
2007, c. 7, Sch. 22
2009, c. 21
2009, c. 33, Sch. 23, s. 1
2010, c. 18, s. 23
2017, c. 20, Sch. 8, s. 97
2017, c. 24, s. 78
2017, c. 6, Sch. 2
2017, c. 8, Sch. 17, s. 7, 8
2018, c. 3, Sch. 5, s. 33 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 31
2019, c. 7, Sch. 17, s. 102
2019, c. 7, Sch. 17, s. 102","","",""
"Mining Amendment Act, 1916, S.O. 1916, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1920, S.O. 1920, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1939, S.O. 1939, c. 27","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1947, S.O. 1947, c. 66","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1949, S.O. 1949, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1950, S.O. 1950, c. 44","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1952, S.O. 1952, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1955, S.O. 1955, c. 45","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1956, S.O. 1956, c. 47","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1957, S.O. 1957, c. 71","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1959, S.O. 1959, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1962-63, S.O. 1962-63, c. 84","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1964, S.O. 1964, c. 62","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1965, S.O. 1965, c. 73","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1970 (No. 2), S.O. 1970, c. 26","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Amendment Act, 1971, S.O. 1971, c. 102","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Court Act, 1924, S.O. 1924, c. 21","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Schools Act, R.S.O. 1937, c. 376","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Tax Act, 1972, S.O. 1972, c. 140","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Tax Act, R.S.O. 1990, c. M.15","Yes","Minister of Finance","1150/2018 (10/11/2018)","1992, c. 4
1994, c. 18, s. 6
1996, c. 29, s. 35
1997, c. 19, s. 14
1998, c. 15, Sch. E, s. 17
2000, c. 10, s. 21
2000, c. 42, s. 70-73
2001, c. 23, s. 150-154
2002, c. 22, s. 137
2004, c. 16, Sch. D, Table
2006, c. 33, Sch. S
2007, c. 7, Sch. 23
2008, c. 19, Sch. V, s. 5
2009, c. 33, Sch. 16, s. 8
2009, c. 33, Sch. 23, s. 2
2011, c. 9, Sch. 24
2017, c. 34, Sch. 25","","",""
"Mining Tax Amendment Act, 1921, S.O. 1921, c. 11","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Tax Amendment Act, 1987, S.O. 1987, c. 11","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Tax Amendment Act, 1990, S.O. 1990, c. 3","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mining Tax Titles Validity Act, 1924, S.O. 1924, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ministry of Agriculture and Food Statute Law Amendment Act, 1988, S.O. 1988, 36-37 Elizabeth II, c. 13","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 32 (2)"
"Ministry of Agriculture and Food Statute Law Amendment and Repeal Act, 1978, S.O. 1978, 26-27 Elizabeth II, c. 100","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 32 (1)"
"Ministry of Agriculture, Food and Rural Affairs Act, R.S.O. 1990, c. M.16 (formerly Ministry of Agriculture and Food Act)","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 31
1999, c. 12, Sch. A, s. 20
2002, c. 16, s. 19
2006, c. 19, Sch. A, s. 16
2006, c. 35, Sch. C, s. 68
2009, c. 33, Sch. 1, s. 21
2010, c. 15, s. 234 (See 2017, c. 20, Sch. 8, s. 58)
2010, c. 16, Sch. 1, s. 6
2015, c. 6, s. 10
2017, c. 2, Sch. 1
2017, c. 20, Sch. 8, s. 98
2019, c. 4, Sch. 1, s. 12, 13
2019, c. 7, Sch. 17, s. 103
2019, c. 7, Sch. 17, s. 103","","",""
"Ministry of Citizenship and Culture Act, R.S.O. 1990, c. M.18","Yes","Minister of Children, Community and Social Services, in respect of citizenship matters
Minister of Tourism, Culture and Sport, in respect of culture matters","Minister of Children, Community and Social Services: 1144/2018 (10/11/2018)
Minister of Tourism, Culture and Sport: 1160/2018 (10/11/2018)","1993, c. 27, Sch.
1998, c. 18, Sch. D, s. 1
2002, c. 17, Sch. F, Table
2007, c. 7, Sch. 24
2019, c. 7, Sch. 17, s. 104
2019, c. 7, Sch. 17, s. 104","","",""
"Ministry of Community and Social Services Act, R.S.O. 1990, c. M.20","Yes","Minister of Children, Community and Social Services, in respect of children, youth, community, and social services, except as it relates to child care programs and services; core mental health services for children and youth; and sections 11.1 and 12 as they relate to Long-Term Care Programs and Services
Minister of Education, in respect of child care services and programs
Minister of Health, in respect of core mental health services for children and youth and sections 11.1 and 12 respecting Long-Term Care Programs and Services","Minister of Children, Community and Social Services: 1144/2018 (10/11/2018)
Minister of Education: 1147/2018 (10/11/2018)
Minister of Health: 1110/2019 (31/08/2019)","1993, c. 2, s. 23, 24
1994, c. 27, s. 67
1997, c. 25, s. 4 (4)
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. D, s. 11
2006, c. 34, s. 35
2006, c. 35, Sch. C, s. 69
2017, c. 14, Sch. 4, s. 21
2019, c. 7, Sch. 17, s. 105
2019, c. 7, Sch. 17, s. 105","","",""
"Ministry of Community Safety and Correctional Services Act, 2018, S.O. 2018, c. 6, Sched. 1","Yes","Solicitor General","635/2019 (04/05/2019)","2019, c. 7, Sch. 17, s. 106
2019, c. 7, Sch. 17, s. 106","","",""
"Ministry of Consumer and Business Services Act, R.S.O. 1990, c. M.21 (formerly Ministry of Consumer and Commercial Relations Act)","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","1994, c. 27, s. 90
1996, c. 19, s. 22
1999, c. 12, Sch. G, s. 27
2000, c. 16, s. 45 (2)
2001, c. 9, Sch. D, s. 11
2002, c. 30, Sch. E, s. 10
2006, c. 19, Sch. G, s. 5
2006, c. 35, Sch. C, s. 70
2009, c. 33, Sch. 10, s. 9
2009, c. 33, Sch. 6, s. 68 (But see 2011, c. 1, Sch. 2, s. 4 (2))
2011, c. 1, Sch. 2, s. 4 (1)
2012, c. 8, Sch. 11, s. 48
2019, c. 7, Sch. 17, s. 107
2019, c. 7, Sch. 17, s. 107","","",""
